sample,code,dilution_cap,liquidity_elasticity,money_gdp,income_floor,speed,midpoint,ai_gain,resource_growth,excluded_fraction,dilution_investment_penalty,terminal_year,calendar_terminal_year,status,sunset,price_band,mvi_gdp,gini_wealth,real_gdp,tax_gdp,usownership_share,coverage_shortfall,max_inflation,max_accounting_error
19,B6,0.0098049789966,2.78383800444,0.465948518535,0.378070332511,0.080821597719,36.3579127732,0.609651727683,0.0150686863832,0.043219542358,1.34202570719,50,2077,ok,False,True,0.312071559775,0.755235080559,2.51909595292,0.503738887319,0.0523109881772,0.0028930067274,0.0208660709571,4.06026632049e-16
20,B2,0.0349566017821,2.1331710326,0.377723033796,0.333979206743,0.162545298184,22.5753431033,1.49068009958,0.0236220388436,0.115632060281,1.18049036148,50,2077,ok,False,True,0.288376646158,0.803887290337,3.7275199267,0.486962629335,0,0.00207550583907,0.0220680568251,4.85173718525e-16
20,B5,0.0349566017821,2.1331710326,0.377723033796,0.333979206743,0.162545298184,22.5753431033,1.49068009958,0.0236220388436,0.115632060281,1.18049036148,50,2077,ok,False,True,0.21114835587,0.539531344488,3.7275199267,0.40875263152,0.438358567938,0.00871338861785,0.021489891961,5.24353030053e-16
20,B6,0.0349566017821,2.1331710326,0.377723033796,0.333979206743,0.162545298184,22.5753431033,1.49068009958,0.0236220388436,0.115632060281,1.18049036148,50,2077,ok,False,True,0.208391902819,0.540132078792,3.7275199267,0.399670019699,0.438358567938,0.00890493684025,0.0215027928113,5.3979986604e-16
21,B2,0.0441175316891,7.59786335771,0.783763050558,0.341909271729,0.131397244555,12.5226928875,1.27780300572,0.0461777709624,0.0768227014533,0.889530658039,50,2077,ok,False,True,0.293793433172,0.748687013847,10.8284435451,0.469491165604,0,0.00217734824393,0.0216236323614,5.64160291071e-16
21,B5,0.0441175316891,7.59786335771,0.783763050558,0.341909271729,0.131397244555,12.5226928875,1.27780300572,0.0461777709624,0.0768227014533,0.889530658039,50,2077,ok,False,True,0.117686013982,0.43489965754,10.2724831412,0.292645974175,0.611737572941,0.0143479449794,0.0209765819596,4.4113208412e-16
21,B6,0.0441175316891,7.59786335771,0.783763050558,0.341909271729,0.131397244555,12.5226928875,1.27780300572,0.0461777709624,0.0768227014533,0.889530658039,50,2077,ok,False,True,0.110158724208,0.434936351963,10.2725063961,0.275301545595,0.611737572941,0.0149187483807,0.0210983260547,4.52106079282e-16
22,B2,0.0198937529889,7.83064302731,0.38879024758,0.229176328737,0.198682385869,18.5567116322,0.700136206475,0.0433317514047,0.0538541051392,0.478986670641,50,2077,ok,False,True,0.169378162407,0.816040205925,5.53993902213,0.367268065358,0,0.00233121972222,0.0221980742471,4.84676763022e-16
22,B5,0.0198937529889,7.83064302731,0.38879024758,0.229176328737,0.198682385869,18.5567116322,0.700136206475,0.0433317514047,0.0538541051392,0.478986670641,50,2077,ok,False,True,0.075385477359,0.61008614806,5.45401076193,0.273269656392,0.332470348788,0.0065379667841,0.0217998473691,3.55582741678e-16
22,B6,0.0198937529889,7.83064302731,0.38879024758,0.229176328737,0.198682385869,18.5567116322,0.700136206475,0.0433317514047,0.0538541051392,0.478986670641,50,2077,ok,False,True,0.0733604483474,0.611171472355,5.45396073501,0.26663483,0.332470348788,0.00662134186385,0.0218119248142,3.86686914426e-16
