k0,elasticity,growth,inflation,demurrage,k,net,burn,gross
0.2,1,0.06,0.02,0.09,0.179166827059,0.013455740249,0.0149139978129,0.0283697380619
0.2,1,0.06,0.02,0.095,0.178273228781,0.0133886294645,0.0156640369351,0.0290526663996
0.2,1,0.06,0.02,0.1,0.177384087343,0.0133218533965,0.0164062233947,0.0297280767912
0.2,1,0.06,0.02,0.105,0.176499380517,0.0132554103755,0.0171406168649,0.0303960272403
0.2,1,0.06,0.02,0.11,0.175619086184,0.0131892987404,0.0178672766188,0.0310565753592
0.2,1,0.06,0.02,0.115,0.174743182338,0.0131235168385,0.0185862615324,0.0317097783709
0.2,1,0.06,0.02,0.12,0.17387164708,0.0130580630252,0.0192976300865,0.0323556931118
0.2,1,0.06,0.02,0.125,0.173004458622,0.0129929356642,0.0200014403697,0.0329943760339
0.2,1,0.06,0.02,0.13,0.172141595285,0.0129281331272,0.0206977500805,0.0336258832077
0.2,1,0.06,0.02,0.135,0.171283035497,0.0128636537942,0.0213866165298,0.0342502703241
0.2,1,0.06,0.02,0.14,0.170428757793,0.0127994960533,0.0220680966436,0.0348675926969
0.2,1,0.06,0.02,0.145,0.169578740818,0.0127356583004,0.022742246965,0.0354779052654
0.2,1,0.06,0.02,0.15,0.168732963319,0.0126721389396,0.0234091236569,0.0360812625966
0.2,1,0.06,0.02,0.155,0.167891404154,0.012608936383,0.0240687825045,0.0366777188875
0.2,1,0.06,0.02,0.16,0.167054042282,0.0125460490504,0.0247212789171,0.0372673279675
0.2,1,0.06,0.02,0.165,0.16622085677,0.0124834753697,0.0253666679311,0.0378501433008
0.2,1,0.06,0.02,0.17,0.165391826789,0.0124212137766,0.0260050042121,0.0384262179886
0.2,1,0.06,0.02,0.175,0.164566931611,0.0123592627144,0.0266363420569,0.0389956047714
0.2,1,0.06,0.02,0.18,0.163746150616,0.0122976206345,0.0272607353966,0.0395583560311
0.2,1,0.06,0.02,0.185,0.162929463282,0.0122362859957,0.027878237798,0.0401145237937
0.2,1,0.06,0.02,0.19,0.162116849194,0.0121752572647,0.0284889024666,0.0406641597312
0.2,1,0.06,0.02,0.195,0.161308288035,0.0121145329157,0.0290927822483,0.0412073151641
0.2,1,0.06,0.02,0.2,0.160503759592,0.0120541114307,0.0296899296324,0.0417440410631
0.2,1,0.06,0.02,0.205,0.159703243752,0.0119939912992,0.0302803967528,0.042274388052
0.2,1,0.06,0.02,0.21,0.158906720501,0.011934171018,0.0308642353914,0.0427984064094
0.2,1,0.06,0.02,0.215,0.158114169926,0.0118746490917,0.0314414969793,0.043316146071
0.2,1,0.06,0.02,0.22,0.157325572213,0.0118154240323,0.0320122325998,0.0438276566321
0.2,1,0.06,0.02,0.225,0.156540907648,0.0117564943591,0.0325764929901,0.0443329873492
0.2,1,0.06,0.02,0.23,0.155760156614,0.0116978585989,0.0331343285435,0.0448321871424
0.2,1,0.06,0.02,0.235,0.154983299592,0.0116395152857,0.033685789312,0.0453253045977
0.2,1,0.06,0.02,0.24,0.154210317161,0.011581462961,0.0342309250079,0.0458123879689
0.2,1,0.06,0.02,0.245,0.153441189995,0.0115237001735,0.0347697850063,0.0462934851798
0.2,1,0.06,0.02,0.25,0.152675898867,0.0114662254791,0.0353024183471,0.0467686438262
0.2,1,0.06,0.02,0.255,0.151914424645,0.011409037441,0.035828873737,0.047237911178
0.2,1,0.06,0.02,0.26,0.151156748291,0.0113521346293,0.0363491995521,0.0477013341814
0.2,1,0.06,0.02,0.265,0.150402850864,0.0112955156217,0.0368634438392,0.0481589594609
0.2,1,0.06,0.02,0.27,0.149652713516,0.0112391790025,0.0373716543186,0.048610833321
0.2,1,0.06,0.02,0.275,0.148906317493,0.0111831233633,0.0378738783857,0.049057001749
0.2,1,0.06,0.02,0.28,0.148163644136,0.0111273473029,0.0383701631134,0.0494975104162
0.2,1,0.06,0.02,0.285,0.147424674878,0.0110718494267,0.0388605552537,0.0499324046804
0.2,1,0.06,0.02,0.29,0.146689391245,0.0110166283473,0.0393451012403,0.0503617295876
0.2,1,0.06,0.02,0.295,0.145957774854,0.0109616826842,0.03982384719,0.0507855298742
0.2,1,0.06,0.02,0.3,0.145229807415,0.0109070110637,0.0402968389053,0.051203849969
0.2,1,0.06,0.02,0.305,0.144505470728,0.0108526121191,0.0407641218758,0.0516167339949
